Channel,Titles
Cultivando Motivação e Reflexão,A garçonete humilde e a rica arrogante #5
Cultivando Motivação e Reflexão,O valor da vida#13
Cultivando Motivação e Reflexão,Deixar ir embora os maus pensamentos#14
Cultivando Motivação e Reflexão,O tempo é um juiz #9
Cultivando Motivação e Reflexão,Como aprender a ser feliz #01
Cultivando Motivação e Reflexão,A parábola do agricultor #04
Cultivando Motivação e Reflexão,A importância do apoio #8
Cultivando Motivação e Reflexão,A história do pastor e da cabras selvagen#6
Cultivando Motivação e Reflexão,Verdades e ideias para uma vida plena#03
Cultivando Motivação e Reflexão,Trair a nós mesmos pela aprovação dos outros#16
Cultivando Motivação e Reflexão,A coisa mais forte #02
Cultivando Motivação e Reflexão,As velhas almas e o amor#10
Cultivando Motivação e Reflexão,Ter um bom coração#7
Cultivando Motivação e Reflexão,Características das pessoas egocêntricas#12
Cultivando Motivação e Reflexão,Veja por que não devemos fazer fofoca#15
Cultivando Motivação e Reflexão,Merecemos tirar uma folga#11
