Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2021-11-17,Subs_2021-11-17
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,MON CHIEN GOÛTE DES FRUITS ET LÉGUMES #2,https://www.youtube.com/watch?v=WT6GkJzvu2I,há 4 anos,3 800000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,MON CHIEN GOÛTE DES FRUITS ET LÉGUMES,https://www.youtube.com/watch?v=9jWxDsb8I1w,há 4 anos,1 600000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,MON CHIEN CRÉE SON SIMS,https://www.youtube.com/watch?v=gJZKF_42ybA,há 3 anos,1 500000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,"APÉRO POUR CHIEN : PIZZAS, BIÈRES ET CHIPS !",https://www.youtube.com/watch?v=ns_dzpTgre4,há 4 anos,1 500000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,DÉGUSTATION | Nouveautés de supermarché #2,https://www.youtube.com/watch?v=7vvtFcG_Nsk,há 5 anos,1 400000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,CHICHOU OUVRE UNE BOX SURPRISE,https://www.youtube.com/watch?v=IPeA_tyiV2E,há 5 anos,1 200000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,COLORATION À LA BETTERAVE,https://www.youtube.com/watch?v=xk0742iEJOk,há 4 anos,100000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,Décoloration : de brune à blond platine,https://www.youtube.com/watch?v=cLOCP-v5fc0,há 7 anos,96600,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,MON CHIEN CHOISIT MON MAKEUP,https://www.youtube.com/watch?v=ns6W1T-2lDU,há 3 anos,83600,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,DÉGUSTATION | ... pour chiens !,https://www.youtube.com/watch?v=xBWZfwdJbVc,há 5 anos,79600,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,"UNE COLORATION AU ""NUTELLA"" ?",https://www.youtube.com/watch?v=TAQnIXdz3kk,há 4 anos,79100,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,MON CHIEN GOÛTE DES FRUITS ET LÉGUMES #4,https://www.youtube.com/watch?v=w44EqkUdCcw,há 3 anos,68700,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,UNBOXING & DÉGUSTATION | POUR CHIEN & CHAT,https://www.youtube.com/watch?v=6uBn0tIEpyg,há 4 anos,67200,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,Challenge | My Boyfriend Cuts My Hair,https://www.youtube.com/watch?v=sD67Ft1VMTo,há 7 anos,63900,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,TEST | Perle d'Argent de Garnier | Gris et blanc,https://www.youtube.com/watch?v=nL3LRCN569w,há 6 anos,61800,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,CRASH TEST | COLORATION BLEUE BIO ?!,https://www.youtube.com/watch?v=C9xqKnMdoXU,há 4 anos,60900,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,DE BRUNE À LILAS EN 3 ÉTAPES,https://www.youtube.com/watch?v=lM8QKcYzFw8,há 4 anos,60700,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,COLORATION JAUNE AU CURCUMA,https://www.youtube.com/watch?v=-PV7vXKKULI,há 4 anos,60000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,DÉGUSTATION USA POUR CHIEN,https://www.youtube.com/watch?v=uZHvPkvq3Yw,há 5 anos,59800,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,VIVIDS MOOD COLOR PRAVANA | 🔥❄️,https://www.youtube.com/watch?v=cxuZT6wHjmY,há 4 anos,58600,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,COLORATION AU CHARBON ? - CRASHTEST,https://www.youtube.com/watch?v=eX9biEkr_qg,há 3 anos,53400,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,COLORATION AU PAPIER CRÊPON #2,https://www.youtube.com/watch?v=KhTwBXRkfGQ,há 5 anos,52300,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,L'ARNAQUE DES MAISONS EN PAIN D'ÉPICES,https://www.youtube.com/watch?v=wlQ-mX0wvLs,há 3 anos,51300,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,COLORATION AU PAPIER CRÊPON ?,https://www.youtube.com/watch?v=O7MMOj7ZBTY,há 5 anos,51200,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,"CRASH TEST | Le ""Shampoing Américain""",https://www.youtube.com/watch?v=_QlgtA8FcHk,há 6 anos,49600,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,CHICHOU OUVRE SA WOUFBOX,https://www.youtube.com/watch?v=JB1rzAyuZj8,há 5 anos,48300,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,CHICHOU & SA WOUFBOX DE MAI,https://www.youtube.com/watch?v=msfa9QC3iUQ,há 5 anos,47400,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,COLORATION AU ROUGE À LÈVRES ?,https://www.youtube.com/watch?v=tNRtTzA59N0,há 4 anos,46900,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,LE BU ME COLORE LES CHEVEUX,https://www.youtube.com/watch?v=vl7iMHRtKYQ,há 4 anos,43000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,UNE PÂTE COLORANTE ? FT. MON COPAIN,https://www.youtube.com/watch?v=URzEqZe9XiE,há 3 anos,42600,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,CHICHOU OUVRE SA PETYBOX + CONCOURS,https://www.youtube.com/watch?v=VLe8YJmbmgo,há 4 anos,42100,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,DÉGUSTATION | Nouveautés de Supermarché #3,https://www.youtube.com/watch?v=s3os7OsnXTw,há 5 anos,39100,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,La minute Pastel | PRÉSENTATION,https://www.youtube.com/watch?v=PKPOrTeJ5O8,há 7 anos,38400,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,DU KETCHUP POUR DÉVERDIR (2ÈME ESSAI),https://www.youtube.com/watch?v=4setVeC6UQw,há 4 anos,38200,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,GOÛTERS D'ENFANCE (PIMENTÉS) 🌶️‏,https://www.youtube.com/watch?v=9_quQNKRzhA,há 4 anos,37700,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,LE PASTEL SUR LES BRUNES ? | QUESTION COLO,https://www.youtube.com/watch?v=R5rspCGiJ6Q,há 5 anos,36600,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,CALENDRIERS DE L'AVENT ORIGINAUX,https://www.youtube.com/watch?v=CptcpTgpDRU,há 3 anos,36000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,LA DÉCOLORATION SANS LA CASSE ? | revue fibreplex,https://www.youtube.com/watch?v=AMuaxRs12Ro,há 5 anos,35100,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,DÉGUSTATION | Nouveautés de supermarché,https://www.youtube.com/watch?v=VosX01IhzCU,há 6 anos,35000,38400
pastel,Pastel,https://www.youtube.com/c/WildPastelHair,UNBOXING AVEC CHICHOU,https://www.youtube.com/watch?v=3ytKykk0kFw,há 4 anos,34900,38400
